证券代码,证券简称,最后交割日
AL0705.SHF,沪铝0705,2007-05-22
AL0706.SHF,沪铝0706,2007-06-22
AL0707.SHF,沪铝0707,2007-07-23
AL0708.SHF,沪铝0708,2007-08-22
AL0709.SHF,沪铝0709,2007-09-24
AL0710.SHF,沪铝0710,2007-10-22
AL0711.SHF,沪铝0711,2007-11-22
AL0712.SHF,沪铝0712,2007-12-24
AL0801.SHF,沪铝0801,2008-01-22
AL0802.SHF,沪铝0802,2008-02-22
AL0803.SHF,沪铝0803,2008-03-24
AL0804.SHF,沪铝0804,2008-04-22
AL0805.SHF,沪铝0805,2008-05-22
AL0806.SHF,沪铝0806,2008-06-23
AL0807.SHF,沪铝0807,2008-07-22
AL0808.SHF,沪铝0808,2008-08-22
AL0809.SHF,沪铝0809,2008-09-23
AL0810.SHF,沪铝0810,2008-10-22
AL0811.SHF,沪铝0811,2008-11-24
AL0812.SHF,沪铝0812,2008-12-22
AL0901.SHF,沪铝0901,2009-01-22
AL0902.SHF,沪铝0902,2009-02-23
AL0903.SHF,沪铝0903,2009-03-23
AL0904.SHF,沪铝0904,2009-04-22
AL0905.SHF,沪铝0905,2009-05-22
AL0906.SHF,沪铝0906,2009-06-22
AL0907.SHF,沪铝0907,2009-07-22
AL0908.SHF,沪铝0908,2009-08-24
AL0909.SHF,沪铝0909,2009-09-22
AL0910.SHF,沪铝0910,2009-10-22
AL0911.SHF,沪铝0911,2009-11-23
AL0912.SHF,沪铝0912,2009-12-22
AL1001.SHF,沪铝1001,2010-01-22
AL1002.SHF,沪铝1002,2010-02-23
AL1003.SHF,沪铝1003,2010-03-22
AL1004.SHF,沪铝1004,2010-04-22
AL1005.SHF,沪铝1005,2010-05-24
AL1006.SHF,沪铝1006,2010-06-24
AL1007.SHF,沪铝1007,2010-07-22
AL1008.SHF,沪铝1008,2010-08-23
AL1009.SHF,沪铝1009,2010-09-27
AL1010.SHF,沪铝1010,2010-10-22
AL1011.SHF,沪铝1011,2010-11-22
AL1012.SHF,沪铝1012,2010-12-22
AL1101.SHF,沪铝1101,2011-01-24
AL1102.SHF,沪铝1102,2011-02-22
AL1103.SHF,沪铝1103,2011-03-22
AL1104.SHF,沪铝1104,2011-04-22
AL1105.SHF,沪铝1105,2011-05-23
AL1106.SHF,沪铝1106,2011-06-22
AL1107.SHF,沪铝1107,2011-07-22
AL1108.SHF,沪铝1108,2011-08-22
AL1109.SHF,沪铝1109,2011-09-22
AL1110.SHF,沪铝1110,2011-10-24
AL1111.SHF,沪铝1111,2011-11-22
AL1112.SHF,沪铝1112,2011-12-22
AL1201.SHF,沪铝1201,2012-01-20
AL1202.SHF,沪铝1202,2012-02-22
AL1203.SHF,沪铝1203,2012-03-22
AL1204.SHF,沪铝1204,2012-04-23
AL1205.SHF,沪铝1205,2012-05-22
AL1206.SHF,沪铝1206,2012-06-25
AL1207.SHF,沪铝1207,2012-07-23
AL1208.SHF,沪铝1208,2012-08-22
AL1209.SHF,沪铝1209,2012-09-24
AL1210.SHF,沪铝1210,2012-10-22
AL1211.SHF,沪铝1211,2012-11-22
AL1212.SHF,沪铝1212,2012-12-24
AL1301.SHF,沪铝1301,2013-01-22
AL1302.SHF,沪铝1302,2013-02-25
AL1303.SHF,沪铝1303,2013-03-22
AL1304.SHF,沪铝1304,2013-04-22
AL1305.SHF,沪铝1305,2013-05-22
AL1306.SHF,沪铝1306,2013-06-24
AL1307.SHF,沪铝1307,2013-07-22
AL1308.SHF,沪铝1308,2013-08-22
AL1309.SHF,沪铝1309,2013-09-25
AL1310.SHF,沪铝1310,2013-10-22
AL1311.SHF,沪铝1311,2013-11-22
AL1312.SHF,沪铝1312,2013-12-23
AL1401.SHF,沪铝1401,2014-01-22
AL1402.SHF,沪铝1402,2014-02-24
AL1403.SHF,沪铝1403,2014-03-24
AL1404.SHF,沪铝1404,2014-04-22
AL1405.SHF,沪铝1405,2014-05-22
AL1406.SHF,沪铝1406,2014-06-23
AL1407.SHF,沪铝1407,2014-07-22
AL1408.SHF,沪铝1408,2014-08-22
AL1409.SHF,沪铝1409,2014-09-22
AL1410.SHF,沪铝1410,2014-10-22
AL1411.SHF,沪铝1411,2014-11-24
AL1412.SHF,沪铝1412,2014-12-22
AL1501.SHF,沪铝1501,2015-01-22
AL1502.SHF,沪铝1502,2015-02-17
AL1503.SHF,沪铝1503,2015-03-23
AL1504.SHF,沪铝1504,2015-04-22
AL1505.SHF,沪铝1505,2015-05-22
AL1506.SHF,沪铝1506,2015-06-23
AL1507.SHF,沪铝1507,2015-07-22
AL1508.SHF,沪铝1508,2015-08-24
AL1509.SHF,沪铝1509,2015-09-22
AL1510.SHF,沪铝1510,2015-10-22
AL1511.SHF,沪铝1511,2015-11-23
AL1512.SHF,沪铝1512,2015-12-22
AL1601.SHF,沪铝1601,2016-01-22
AL1602.SHF,沪铝1602,2016-02-22
AL1603.SHF,沪铝1603,2016-03-22
AL1604.SHF,沪铝1604,2016-04-22
AL1605.SHF,沪铝1605,2016-05-23
AL1606.SHF,沪铝1606,2016-06-22
AL1607.SHF,沪铝1607,2016-07-22
AL1608.SHF,沪铝1608,2016-08-22
AL1609.SHF,沪铝1609,2016-09-26
AL1610.SHF,沪铝1610,2016-10-24
AL1611.SHF,沪铝1611,2016-11-22
AL1612.SHF,沪铝1612,2016-12-22
AL1701.SHF,沪铝1701,2017-01-23
AL1702.SHF,沪铝1702,2017-02-22
AL1703.SHF,沪铝1703,2017-03-22
AL1704.SHF,沪铝1704,2017-04-24
AL1705.SHF,沪铝1705,2017-05-22
AL1706.SHF,沪铝1706,2017-06-22
AL1707.SHF,沪铝1707,2017-07-24
AL1708.SHF,沪铝1708,2017-08-22
AL1709.SHF,沪铝1709,2017-09-22
AL1710.SHF,沪铝1710,2017-10-23
AL1711.SHF,沪铝1711,2017-11-22
AL1712.SHF,沪铝1712,2017-12-22
AL1801.SHF,沪铝1801,2018-01-22
AL1802.SHF,沪铝1802,2018-02-23
AL1803.SHF,沪铝1803,2018-03-22
AL1804.SHF,沪铝1804,2018-04-23
AL1805.SHF,沪铝1805,2018-05-22
AL1806.SHF,沪铝1806,2018-06-25
AL1807.SHF,沪铝1807,2018-07-23
AL1808.SHF,沪铝1808,2018-08-22
AL1809.SHF,沪铝1809,2018-09-25
AL1810.SHF,沪铝1810,2018-10-22
AL1811.SHF,沪铝1811,2018-11-22
AL1812.SHF,沪铝1812,2018-12-24
AL1901.SHF,沪铝1901,2019-01-22
AL1902.SHF,沪铝1902,2019-02-22
AL1903.SHF,沪铝1903,2019-03-22
AL1904.SHF,沪铝1904,2019-04-22
