,ExchangeID,PriceTick,VolumeMultiple,LongMarginRatio,ShortMarginRatio
Y_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
PP_O.DCE,DCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
M_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
P_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
EB_O.DCE,DCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
PG_O.DCE,DCE,0.2,20,1.7976931348623157e+308,1.7976931348623157e+308
A_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
C_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
V_O.DCE,DCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
L_O.DCE,DCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
RB_O.SHFE,SHFE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
RMC.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
RMP.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
AG_O.SHFE,SHFE,0.5,15,1.7976931348623157e+308,1.7976931348623157e+308
CFP.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
CFC.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
APC.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
APP.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
OIC.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
OIP.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
MAC.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
MAP.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
PKC.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
PKP.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
SAC.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
SAP.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
SRC.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
SRP.CZCE,CZCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
SI_O.GFEX,GFEX,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
URC.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
URP.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
TAC.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
TAP.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
AU_O.SHFE,SHFE,0.02,1000,1.7976931348623157e+308,1.7976931348623157e+308
RU_O.SHFE,SHFE,1.0,10,1.7976931348623157e+308,1.7976931348623157e+308
CU_O.SHFE,SHFE,2.0,5,1.7976931348623157e+308,1.7976931348623157e+308
AL_O.SHFE,SHFE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
SMC.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
SFP.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
SMP.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
PXC.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
PXP.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
SFC.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
SHC.CZCE,CZCE,0.5,30,1.7976931348623157e+308,1.7976931348623157e+308
SHP.CZCE,CZCE,0.5,30,1.7976931348623157e+308,1.7976931348623157e+308
ZN_O.SHFE,SHFE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
CJC.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
CJP.CZCE,CZCE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
FGC.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
FGP.CZCE,CZCE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
PFC.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
PFP.CZCE,CZCE,0.5,5,1.7976931348623157e+308,1.7976931348623157e+308
SC_O.INE,INE,0.05,1000,1.7976931348623157e+308,1.7976931348623157e+308
BR_O.SHFE,SHFE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
CS_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
JD_O.DCE,DCE,0.5,10,1.7976931348623157e+308,1.7976931348623157e+308
LH_O.DCE,DCE,2.5,16,1.7976931348623157e+308,1.7976931348623157e+308
AO_O.SHFE,SHFE,0.5,20,1.7976931348623157e+308,1.7976931348623157e+308
NI_O.SHFE,SHFE,2.0,1,1.7976931348623157e+308,1.7976931348623157e+308
PB_O.SHFE,SHFE,1.0,5,1.7976931348623157e+308,1.7976931348623157e+308
SN_O.SHFE,SHFE,2.0,1,1.7976931348623157e+308,1.7976931348623157e+308
ZCC.CZCE,CZCE,0.1,100,1.7976931348623157e+308,1.7976931348623157e+308
ZCP.CZCE,CZCE,0.1,100,1.7976931348623157e+308,1.7976931348623157e+308
