ts_code,futu_code,exchange,name,delist_date,last_ddate
AL0201.SHF,AL0201,SHFE,沪铝0201,20020115,20020122
CU0201.SHF,CU0201,SHFE,沪铜0201,20020115,20020122
A0201.DCE,A0201,DCE,豆一0201,20020118,20020125
M0201.DCE,M0201,DCE,豆粕0201,20020118,20020124
WT0201.ZCE,WT201,CZCE,硬麦0201,20020123,20020131
CU0202.SHF,CU0202,SHFE,沪铜0202,20020219,20020304
AL0202.SHF,AL0202,SHFE,沪铝0202,20020219,20020304
A0203.DCE,A0203,DCE,豆一0203,20020314,20020325
M0203.DCE,M0203,DCE,豆粕0203,20020314,20020320
AL0203.SHF,AL0203,SHFE,沪铝0203,20020315,20020322
RU0203.SHF,RU0203,SHFE,橡胶0203,20020315,20020322
CU0203.SHF,CU0203,SHFE,沪铜0203,20020315,20020322
WT0203.ZCE,WT203,CZCE,硬麦0203,20020321,20020329
RU0204.SHF,RU0204,SHFE,橡胶0204,20020415,20020422
AL0204.SHF,AL0204,SHFE,沪铝0204,20020415,20020422
CU0204.SHF,CU0204,SHFE,沪铜0204,20020415,20020422
RU0205.SHF,RU0205,SHFE,橡胶0205,20020515,20020522
CU0205.SHF,CU0205,SHFE,沪铜0205,20020515,20020522
AL0205.SHF,AL0205,SHFE,沪铝0205,20020515,20020522
A0205.DCE,A0205,DCE,豆一0205,20020521,20020530
M0205.DCE,M0205,DCE,豆粕0205,20020521,20020527
WT0205.ZCE,WT205,CZCE,硬麦0205,20020523,20020531
AL0206.SHF,AL0206,SHFE,沪铝0206,20020617,20020624
CU0206.SHF,CU0206,SHFE,沪铜0206,20020617,20020624
RU0206.SHF,RU0206,SHFE,橡胶0206,20020617,20020624
M0207.DCE,M0207,DCE,豆粕0207,20020712,20020718
A0207.DCE,A0207,DCE,豆一0207,20020712,20020723
CU0207.SHF,CU0207,SHFE,沪铜0207,20020715,20020722
AL0207.SHF,AL0207,SHFE,沪铝0207,20020715,20020722
RU0207.SHF,RU0207,SHFE,橡胶0207,20020715,20020722
WT0207.ZCE,WT207,CZCE,硬麦0207,20020723,20020731
CU0208.SHF,CU0208,SHFE,沪铜0208,20020815,20020822
AL0208.SHF,AL0208,SHFE,沪铝0208,20020815,20020822
RU0208.SHF,RU0208,SHFE,橡胶0208,20020815,20020822
A0209.DCE,A0209,DCE,豆一0209,20020913,20020924
M0209.DCE,M0209,DCE,豆粕0209,20020913,20020919
RU0209.SHF,RU0209,SHFE,橡胶0209,20020916,20020923
CU0209.SHF,CU0209,SHFE,沪铜0209,20020916,20020923
AL0209.SHF,AL0209,SHFE,沪铝0209,20020916,20020923
WT0209.ZCE,WT209,CZCE,硬麦0209,20020920,20020927
AL0210.SHF,AL0210,SHFE,沪铝0210,20021015,20021022
RU0210.SHF,RU0210,SHFE,橡胶0210,20021015,20021022
CU0210.SHF,CU0210,SHFE,沪铜0210,20021015,20021022
M0211.DCE,M0211,DCE,豆粕0211,20021114,20021120
A0211.DCE,A0211,DCE,豆一0211,20021114,20021125
RU0211.SHF,RU0211,SHFE,橡胶0211,20021115,20021122
CU0211.SHF,CU0211,SHFE,沪铜0211,20021115,20021122
AL0211.SHF,AL0211,SHFE,沪铝0211,20021115,20021122
WT0211.ZCE,WT211,CZCE,硬麦0211,20021121,20021129
CU0212.SHF,CU0212,SHFE,沪铜0212,20021216,20021223
AL0212.SHF,AL0212,SHFE,沪铝0212,20021216,20021223
RU0301.SHF,RU0301,SHFE,橡胶0301,20030115,20030122
AL0301.SHF,AL0301,SHFE,沪铝0301,20030115,20030122
M0301.DCE,M0301,DCE,豆粕0301,20030115,20030121
CU0301.SHF,CU0301,SHFE,沪铜0301,20030115,20030122
A0301.DCE,A0301,DCE,豆一0301,20030115,20030124
WT0301.ZCE,WT301,CZCE,硬麦0301,20030121,20030129
AL0302.SHF,AL0302,SHFE,沪铝0302,20030217,20030224
CU0302.SHF,CU0302,SHFE,沪铜0302,20030217,20030224
M0303.DCE,M0303,DCE,豆粕0303,20030314,20030320
A0303.DCE,A0303,DCE,豆一0303,20030314,20030321
CU0303.SHF,CU0303,SHFE,沪铜0303,20030317,20030324
RU0303.SHF,RU0303,SHFE,橡胶0303,20030317,20030324
AL0303.SHF,AL0303,SHFE,沪铝0303,20030317,20030324
WT0303.ZCE,WT303,CZCE,硬麦0303,20030321,20030331
RU0304.SHF,RU0304,SHFE,橡胶0304,20030415,20030422
AL0304.SHF,AL0304,SHFE,沪铝0304,20030415,20030422
CU0304.SHF,CU0304,SHFE,沪铜0304,20030415,20030422
AL0305.SHF,AL0305,SHFE,沪铝0305,20030515,20030522
RU0305.SHF,RU0305,SHFE,橡胶0305,20030515,20030522
CU0305.SHF,CU0305,SHFE,沪铜0305,20030515,20030522
WS0305.ZCE,WS305,CZCE,强麦0305,20030522,20030530
WT0305.ZCE,WT305,CZCE,硬麦0305,20030522,20030530
A0305.DCE,A0305,DCE,豆一0305,20030523,20030530
M0305.DCE,M0305,DCE,豆粕0305,20030523,20030529
AL0306.SHF,AL0306,SHFE,沪铝0306,20030616,20030623
CU0306.SHF,CU0306,SHFE,沪铜0306,20030616,20030623
