date,open,high,low,close,volume,returns,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_Import_level,fac_PMI_Import_level_release,fac_CPI_=100_zscore,fac_CPI_=100_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PPIRM_Agri_Products_YoY_zscore,fac_PPIRM_Agri_Products_YoY_zscore_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,any_effective_release
2016-01-20,4603.648481973019,4624.946499861149,4546.3076645818965,4561.052446196757,634436.0,-0.007840342124020072,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-21,4554.499209923486,4585.627082221523,4520.094719488812,4526.647955762085,739728.0,-0.007543103448275468,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-22,4529.924573898719,4592.180318494795,4526.647955762085,4579.073845948254,650236.0,0.011581614187477163,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-25,4597.095245699749,4611.840027314609,4562.690755265075,4574.158918743299,502394.0,-0.0010733452593919557,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-26,4564.329064333392,4618.39326358788,4561.052446196757,4593.818627563109,656944.0,0.0042979942693401885,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-27,4605.286791041337,4623.308190792829,4575.797227811616,4621.669881724518,617330.0,0.00606276747503709,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-28,4620.031572656198,4636.414663339376,4603.648481973019,4611.840027314609,532372.0,-0.002126905352712205,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-01-29,4608.563409177973,4642.967899612646,4567.605682470028,4569.243991538347,632654.0,-0.009236234458259274,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-02-01,4570.882300606664,4595.456936631429,4564.329064333392,4595.456936631429,347236.0,0.005736823234133492,,0,,0,,0,,0,,0,,0,,0,-5.9,0,,0,,0,,0,,0,0
2016-02-02,4592.180318494795,4638.052972407695,4580.71215501657,4636.414663339376,394286.0,0.008912655971479833,,0,,0,,0,-0.79999924,1,46.4,1,,0,49.5,1,-5.9,0,45.1,1,,1,,0,,1,0
2016-02-03,4633.138045202738,4638.052972407695,4593.818627563109,4621.669881724518,337542.0,-0.0031802120141337653,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-04,4624.946499861149,4662.62760843246,4608.563409177973,4654.43606309087,377912.0,0.007089684509038685,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-05,4647.882826817596,4710.138571413678,4641.329590544328,4698.67040793545,408818.0,0.00950369588173161,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-15,4783.862479487978,4810.075424581069,4715.053498618629,4765.841079736482,427458.0,0.014295676429568083,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-16,4757.6495343948945,4787.139097624613,4728.159971165171,4741.266443711714,377194.0,-0.005156411137848371,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-17,4737.98982557508,4741.266443711714,4708.500262345359,4713.415189550314,360270.0,-0.005874222529370532,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-18,4729.798280233487,4762.564461599846,4715.053498618629,4723.245043960219,420704.0,0.002085505735140547,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.9,0,45.1,0,,0,,0,,0,0
2016-02-19,4731.4365893018075,4733.074898370125,4698.67040793545,4731.4365893018075,487938.0,0.001734304543877796,,0,,0,,0,-0.79999924,0,46.4,0,,1,49.5,0,-5.3,1,45.1,0,,0,,1,,0,0
2016-02-22,4710.138571413678,4757.6495343948945,4703.585335140407,4737.98982557508,494360.0,0.0013850415512468572,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-02-23,4729.798280233487,4731.4365893018075,4679.010699115638,4701.947026072086,437638.0,-0.007607192254495687,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-02-24,4701.947026072086,4723.245043960219,4634.776354271056,4644.6062086809625,517310.0,-0.012195121951219745,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-02-25,4631.499736134423,4667.542535637414,4626.5848089294705,4634.776354271056,357440.0,-0.002116402116401961,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-02-26,4639.691281476011,4647.882826817596,4600.3718638363825,4638.052972407695,368222.0,0.0007069635913756755,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-02-29,4638.052972407695,4660.989299364141,4603.648481973019,4646.244517749281,377956.0,0.0017661603673606585,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-03-01,4646.244517749281,4665.904226569095,4618.39326358788,4652.797754022553,357870.0,0.0014104372355432382,,0,,0,,0,-0.79999924,0,46.4,0,,0,49.5,0,-5.3,0,45.1,0,,0,,0,,0,0
2016-03-02,4652.797754022553,4695.393789798818,4582.350464084887,4593.818627563109,714842.0,-0.01267605633802893,,0,,0,,0,1.2000008,1,45.8,1,,0,48.6,1,-5.3,0,50.2,1,,1,,0,,1,0
2016-03-03,4587.265391289839,4620.031572656198,4567.605682470028,4611.840027314609,621732.0,0.003922967189729842,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-04,4626.5848089294705,4657.712681227506,4613.478336382928,4646.244517749281,549120.0,0.007460035523978226,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-07,4646.244517749281,4718.330116755265,4636.414663339376,4692.1171716621775,541190.0,0.009873060648800669,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-08,4687.202244457228,4731.4365893018075,4652.797754022553,4675.734080979002,582886.0,-0.0034916201117313195,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-09,4683.925626320591,4688.840553525549,4624.946499861149,4682.287317252273,350986.0,0.0014015416958654825,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-10,4693.755480730499,4715.053498618629,4660.989299364141,4665.904226569095,386412.0,-0.0034989503149055468,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-5.3,0,50.2,0,,0,,0,,0,0
2016-03-11,4667.542535637414,4774.03262507807,4647.882826817596,4741.266443711714,390094.0,0.016151685393258397,,0,,0,,0,1.2000008,0,45.8,0,,1,48.6,0,-4.9,1,50.2,0,,0,,1,,0,0
2016-03-14,4739.628134643395,4785.5007885562945,4710.138571413678,4711.776880481998,218142.0,-0.00621976503109789,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-15,4716.6918076869515,4741.266443711714,4688.840553525549,4705.223644208725,130746.0,-0.0013908205841449695,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-16,4710.138571413678,4737.98982557508,4685.563935388907,4690.478862593863,135906.0,-0.0031337047353765524,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-17,4700.308717003768,4764.202770668161,4693.755480730499,4759.287843463209,127616.0,0.014669926650366483,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-18,4767.4793888048,4824.820206195921,4764.202770668161,4795.3306429662025,150778.0,0.0075731497418247695,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-21,4795.3306429662025,4816.628660854335,4762.564461599846,4813.3520427177,86398.0,0.003758114110010702,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-22,4810.075424581069,4869.054551040504,4803.52218830779,4834.650060605829,94872.0,0.004424778761061399,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-23,4841.203296879099,4862.501314767229,4814.990351786017,4816.628660854335,104560.0,-0.003727549983056133,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-24,4808.4371155127465,4813.3520427177,4759.287843463209,4765.841079736482,75672.0,-0.01054421768707503,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-25,4757.6495343948945,4818.2669699226535,4756.011225326575,4813.3520427177,69364.0,0.00996906153317334,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-28,4808.4371155127465,4842.841605947419,4793.692333897884,4821.543588059289,54228.0,0.0017018379850237686,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-29,4826.458515264242,4862.501314767229,4813.3520427177,4828.096824332559,73922.0,0.0013591573224598363,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-30,4857.586387562282,4862.501314767229,4816.628660854335,4834.650060605829,58536.0,0.001357312521207854,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-03-31,4833.011751537514,4855.948078493961,4813.3520427177,4854.309769425644,55808.0,0.004066418163334751,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-04-01,4849.39484222069,4975.544640481162,4833.011751537514,4965.714786071255,64740.0,0.02294971312858607,,0,,0,,0,1.2000008,0,45.8,0,,0,48.6,0,-4.9,0,50.2,0,,0,,0,,0,0
2016-04-05,4964.076477002935,4972.268022344524,4928.033677499945,4962.43816793462,32318.0,-0.0006598482349058354,,0,,0,,0,0.20000076,1,50.1,1,,0,51.4,1,-4.9,0,55.3,1,,1,,0,,1,0
2016-04-06,4939.501840978165,4944.416768183124,4873.969478245457,4882.161023587048,50436.0,-0.016176956091119132,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.9,0,55.3,0,,0,,0,,0,0
2016-04-07,4888.714259860319,4910.012277748451,4865.777932903871,4905.097350543494,18314.0,0.0046979865771805684,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.9,0,55.3,0,,0,,0,,0,0
2016-04-08,4891.990877996952,4893.629187065273,4844.479915015737,4880.522714518726,28488.0,-0.005010020040080332,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.9,0,55.3,0,,0,,0,,0,0
2016-04-11,4867.416241972186,4954.246622593031,4867.416241972186,4893.629187065273,34228.0,0.0026854649211154324,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.9,0,55.3,0,,0,,0,,0,0
2016-04-12,4890.352568928638,4934.586913773217,4873.969478245457,4924.757059363306,31756.0,0.006360897221291184,,0,,0,,0,0.20000076,0,50.1,0,,1,51.4,0,-4.3,1,55.3,0,,0,,1,,0,0
2016-04-13,4914.927204953403,5068.928257375275,4914.927204953403,4982.097876754429,37902.0,0.011643379906852935,,0,,0,,0,0.20000076,0,50.1,0,,1,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-14,4960.7998588662995,5021.417294394061,4960.7998588662995,5013.225749052469,12026.0,0.006247944755015,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-15,5021.417294394061,5052.545166692097,4983.736185822749,4983.736185822749,24708.0,-0.00588235294117645,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-18,4965.714786071255,5021.417294394061,4955.88493166135,5011.587439984155,11766.0,0.005588428665352474,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-19,5021.417294394061,5086.94965712677,5021.417294394061,5068.928257375275,15814.0,0.011441647597253413,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-20,5068.928257375275,5181.971583089201,5068.928257375275,5149.205401722848,12738.0,0.015837104072398356,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-21,5126.269074766398,5335.972635511076,5119.715838493129,5237.674091412008,33004.0,0.017181037225580287,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-22,5232.759164207057,5270.440272778363,5141.013856381261,5190.163128430795,22820.0,-0.009071004066311561,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-25,5160.673565201072,5245.865636753596,5145.9287835862115,5186.886510294158,7722.0,-0.0006313131313133713,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-26,5190.163128430795,5242.589018616962,5144.290474517895,5214.737764455559,12200.0,0.005369551484522672,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-27,5224.567618865465,5240.9507095486415,5152.482019859483,5177.05665588425,10644.0,-0.0072258875274896495,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-28,5162.311874269389,5162.311874269389,5039.438694145552,5101.694438741631,3316.0,-0.014556962025316644,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-04-29,4998.445053276117,5051.042962419439,4970.502414043728,5051.042962419439,66.0,-0.009928363395806383,,0,,0,,0,0.20000076,0,50.1,0,,0,51.4,0,-4.3,0,55.3,0,,0,,0,,0,0
2016-05-03,4967.215044722275,5052.68664708017,4967.215044722275,5046.111908437253,34.0,-0.0009762447120078566,,0,,0,,0,-0.79999924,1,49.5,1,,0,51.0,1,-4.3,0,57.6,1,,1,,0,,1,0
2016-05-04,4990.2857526305515,4990.2857526305515,4990.2857526305515,4990.2857526305515,2.0,-0.011063202088990254,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-4.3,0,57.6,0,,0,,0,,0,0
2016-05-05,4996.806870895993,4996.806870895993,4996.806870895993,4996.806870895993,0.0,0.0013067624959159918,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-4.3,0,57.6,0,,0,,0,,0,0
2016-05-06,4944.637924772444,4944.637924772444,4944.637924772444,4944.637924772444,0.0,-0.010440456769983952,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-4.3,0,57.6,0,,0,,0,,0,0
2016-05-09,5008.218827860517,5008.218827860517,5008.218827860517,5008.218827860517,0.0,0.01285855588526208,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-4.3,0,57.6,0,,0,,0,,0,0
2016-05-10,5037.563860055016,5037.563860055016,5037.563860055016,5037.563860055016,0.0,0.005859375000000888,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-4.3,0,57.6,0,,0,,0,,0,0
2016-05-11,5037.563860055016,5037.563860055016,5037.563860055016,5037.563860055016,0.0,0.0,,0,,0,,0,-0.79999924,0,49.5,0,,1,51.0,0,-3.4,1,57.6,0,,0,,1,,0,0
2016-05-12,5119.0778383730585,5119.0778383730585,5119.0778383730585,5119.0778383730585,0.0,0.016181229773462702,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-13,5071.799730948595,5071.799730948595,4915.292892577951,4915.292892577951,4.0,-0.03980891719745261,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-16,4993.546311763273,4993.546311763273,4993.546311763273,4993.546311763273,0.0,0.015920398009950487,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-17,4882.889749094866,4934.869946024684,4871.519081016465,4928.372421408454,527728.0,-0.013051624293798691,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-18,4920.250515638173,4993.347667570729,4811.416978316362,4873.143462170523,1029326.0,-0.011206328279498745,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-19,4869.894699862409,4907.255466405719,4793.5487856217405,4801.67069139202,783540.0,-0.01466666666666716,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-20,4756.1880190784295,4817.914502932589,4722.076014843237,4793.5487856217405,678872.0,-0.0016914749661695039,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-23,4793.5487856217405,4816.290121778535,4613.242477521428,4660.3495309890795,874884.0,-0.027787190782785465,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-24,4665.222674451247,4744.817351000032,4639.232575986337,4715.578490227011,675760.0,0.011850819100731602,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-25,4733.446682921634,4749.690494462205,4696.085916378331,4733.446682921634,499658.0,0.003789183603168711,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-26,4767.558687156826,4819.538884086647,4761.061162540602,4809.792597162309,599138.0,0.016129032258065168,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-27,4822.787646394764,4839.031457935333,4736.69544522975,4783.802498697396,571734.0,-0.005403579871665731,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-30,4775.680592927114,4868.270318708354,4761.061162540602,4860.14841293807,521442.0,0.01595925297113787,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-05-31,4879.640986786749,4889.387273711093,4782.178117543343,4783.802498697396,550944.0,-0.0157085561497331,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-06-01,4808.168216008249,4837.407076781275,4780.553736389285,4803.295072546081,510404.0,0.004074702886248671,,0,,0,,0,-0.79999924,0,49.5,0,,0,51.0,0,-3.4,0,57.6,0,,0,,0,,0,0
2016-06-02,4788.675642159568,4892.636036019205,4764.309924848712,4886.138511402984,602582.0,0.017247210010146174,,0,,0,,0,0.19999695,1,49.6,1,,0,50.7,1,-3.4,0,55.3,1,,1,,0,,1,0
2016-06-03,4897.509179481375,4968.981950259877,4891.011654865146,4968.981950259877,663800.0,0.016954787234041424,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-3.4,0,55.3,0,,0,,0,,0,0
2016-06-06,4986.850142954501,5022.586528343752,4929.996802562516,5014.46462257347,495524.0,0.009153318077803396,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-3.4,0,55.3,0,,0,,0,,0,0
2016-06-07,5032.332815268093,5068.069200657342,4959.235663335537,5061.571676041116,656206.0,0.00939423388402938,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-3.4,0,55.3,0,,0,,0,,0,0
2016-06-08,5032.332815268093,5055.074151424889,4985.225761800448,5009.591479111299,531432.0,-0.010269576379973944,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-3.4,0,55.3,0,,0,,0,,0,0
2016-06-13,5097.308061430369,5100.55682373848,4972.2307125679945,4980.352618338276,473150.0,-0.0058365758754862496,,0,,0,,0,0.19999695,0,49.6,0,,1,50.7,0,-2.8,1,55.3,0,,0,,1,,0,0
2016-06-14,4965.733187951763,5012.840241419409,4904.006704097606,4934.869946024684,557338.0,-0.009132420091324311,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-15,4952.73813871931,4972.2307125679945,4869.894699862409,4873.143462170523,507696.0,-0.012508229098091128,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-16,4873.143462170523,4899.133560635434,4793.5487856217405,4801.67069139202,528742.0,-0.01466666666666716,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-17,4800.046310237967,4834.158314473158,4733.446682921634,4829.28517101099,566880.0,0.005751014884980421,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-20,4845.52898255156,4861.77279409213,4796.79754792985,4827.660789856932,486024.0,-0.0003363605785404733,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-21,4814.665740624476,4908.879847559773,4803.295072546081,4839.031457935333,694908.0,0.0023553162853302556,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-22,4824.4120275488185,4897.509179481375,4804.919453700132,4882.889749094866,432888.0,0.00906344410876092,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-23,4871.519081016465,4917.00175333006,4839.031457935333,4863.397175246181,488782.0,-0.003992015968064422,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-24,4878.016605632694,4900.75794178949,4790.300023313625,4800.046310237967,590776.0,-0.01302605210420782,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-27,4796.79754792985,4908.879847559773,4782.178117543343,4900.75794178949,413602.0,0.020981387478849145,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-28,4889.387273711093,4978.728237184218,4882.889749094866,4954.362519873367,619484.0,0.010938017898574959,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-29,4954.362519873367,4988.474524108558,4902.3823229435475,4931.621183716573,490330.0,-0.004590163934425906,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-06-30,4938.118708332798,5007.967097957242,4907.255466405719,5004.718335649126,577512.0,0.014822134387350694,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-07-01,4994.972048724787,5113.5518729709365,4983.601380646391,5056.698532578946,765168.0,0.010386238234339595,,0,,0,,0,0.19999695,0,49.6,0,,0,50.7,0,-2.8,0,55.3,0,,0,,0,,0,0
2016-07-04,5063.196057195176,5254.8730333738795,5059.947294887061,5189.897787211607,1015202.0,0.026341150016061743,,0,,0,,0,-0.5999985,1,49.1,1,,0,50.5,1,-2.8,0,51.3,1,,1,,0,,1,0
