date,open,high,low,close,volume,returns,fac_居民鲜果消费价格指数CPI_上年=100_当月_zscore,fac_居民鲜果消费价格指数CPI_上年=100_当月_zscore_release,fac_居民鲜果消费价格指数CPI_上年=100_当月_level,fac_居民鲜果消费价格指数CPI_上年=100_当月_level_release,fac_PPIRM_农副产品类_全国_当期同比增长率_月_diff,fac_PPIRM_农副产品类_全国_当期同比增长率_月_diff_release,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore,fac_居民粮食消费价格指数CPI_上年=100_当月_zscore_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PPI_农副食品加工业_全国_当期同比增长率_月_diff,fac_PPI_农副食品加工业_全国_当期同比增长率_月_diff_release,fac_对CPI同比拉动_食品_粮食_全国_当期同比增长率_月_zscore,fac_对CPI同比拉动_食品_粮食_全国_当期同比增长率_月_zscore_release,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore,fac_PPIRM_农副产品类_全国_当期同比增长率_月_zscore_release,fac_居民食品消费价格指数CPI_上年=100_当月_zscore,fac_居民食品消费价格指数CPI_上年=100_当月_zscore_release,fac_CPI_翘尾因素_当月_level,fac_CPI_翘尾因素_当月_level_release,fac_PMI_New_Orders_level,fac_PMI_New_Orders_level_release,fac_制造业采购经理指数PMI_进口_level,fac_制造业采购经理指数PMI_进口_level_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PPI_农副食品加工业_全国_当期同比增长率_月_level,fac_PPI_农副食品加工业_全国_当期同比增长率_月_level_release,fac_PMI_New_Orders_zscore,fac_PMI_New_Orders_zscore_release,fac_居民食品消费价格指数CPI_上年=100_当月_diff,fac_居民食品消费价格指数CPI_上年=100_当月_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,any_effective_release
2016-01-20,2009.6596734758284,2021.270102261665,2003.3267123199169,2014.9371411057543,255460.0,0.0020997375328086765,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-21,2012.826154053783,2014.9371411057543,2006.493192897872,2013.8816475797682,139306.0,-0.0005238344683085039,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-22,2013.8816475797682,2026.5475698915918,2012.826154053783,2020.2146087356798,162684.0,0.003144654088050425,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-25,2022.3255957876504,2027.6030634175759,2019.1591152096944,2023.3810893136347,89432.0,0.0015673981191219877,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-26,2023.3810893136347,2033.936024573487,2020.2146087356798,2027.6030634175759,210658.0,0.0020865936358895887,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-27,2030.7695439955312,2055.045895093192,2027.6030634175759,2051.8794145152356,305628.0,0.011972930765226542,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-28,2047.6574404112948,2058.2123756711476,2029.7140504695458,2052.9349080412208,318386.0,0.0005144032921811093,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-01-29,2046.6019468853096,2056.1013886191768,2033.936024573487,2040.268985729397,293574.0,-0.006169665809769298,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-01,2042.379972781369,2050.8239209892495,2039.2134922034134,2043.4354663073536,121076.0,0.0015519917227113655,,0,93.1155,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-02,2044.4909598333402,2048.7129339372796,2037.1025051514425,2044.4909598333402,102084.0,0.0005165289256205963,,0,93.1155,0,,0,,0,45.1,1,,0,,0,,0,,0,,0,49.5,1,46.4,1,2.699997,1,,0,-1.6,0,,1,,0,,0,,1,0
2016-02-03,2044.4909598333402,2056.1013886191768,2040.268985729397,2053.9904015672064,139872.0,0.004646360351058032,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-04,2057.156882145162,2080.377739716837,2051.8794145152356,2077.211259138879,217014.0,0.011305241521067932,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-05,2075.1002720869105,2075.1002720869105,2063.4898433010744,2066.6563238790286,102596.0,-0.0050813008130073944,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-15,2070.8782979829693,2081.4332332428235,2056.1013886191768,2080.377739716837,126430.0,0.006639427987742863,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-16,2078.266752664866,2090.9326749766897,2074.044778560925,2075.1002720869105,211096.0,-0.0025367833587013333,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-17,2074.044778560925,2075.1002720869105,2046.6019468853096,2050.8239209892495,308132.0,-0.011698880976602877,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-18,2056.1013886191768,2062.434349775088,2051.8794145152356,2058.2123756711476,222422.0,0.003602676273804173,,0,93.1155,0,,0,,0,45.1,0,,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.6,0,,0,,0,,0,,0,0
2016-02-19,2058.2123756711476,2064.5453368270573,2041.324479255384,2041.324479255384,230160.0,-0.00820512820512842,,1,93.2115,1,1.3,1,,1,45.1,0,0.6,1,,1,,1,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,1,,0,,0,,0,,0,1
2016-02-22,2040.268985729397,2041.324479255384,1998.0492446899907,2011.770660527798,516792.0,-0.014477766287487093,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-02-23,2010.715167001813,2023.3810893136347,1998.0492446899907,2010.715167001813,281936.0,-0.0005246589716684236,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-02-24,2006.493192897872,2018.1036216837092,1961.1069712805079,1964.273451858464,556950.0,-0.023097112860892333,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-02-25,1966.384438910434,1977.9948676962717,1947.3855554427003,1956.8849971765678,372692.0,-0.0037614185921547305,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-02-26,1954.7740101245977,1965.328945384449,1936.8306201828468,1936.8306201828468,300784.0,-0.01024811218986088,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-02-29,1931.553152552923,1936.8306201828468,1888.2779179875288,1930.4976590269382,599004.0,-0.0032697547683909756,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-01,1926.2756849229966,1981.1613482742277,1926.2756849229966,1980.1058547482414,447102.0,0.02569710224166144,,0,93.2115,0,1.3,0,,0,45.1,0,0.6,0,,0,,0,,0,,0,49.5,0,46.4,0,2.699997,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-02,1981.1613482742277,1981.1613482742277,1952.6630230726266,1970.6064130143752,301400.0,-0.004797441364605248,,0,93.2115,0,1.3,0,,0,50.2,1,0.6,0,,0,,0,,0,,0,48.6,1,45.8,1,5.1000023,1,,0,-1.0,0,,1,,0,,0,,1,0
2016-03-03,1972.7174000663458,1979.0503612222576,1961.1069712805079,1976.9393741702863,235966.0,0.0032137118371717843,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-04,1979.0503612222576,1992.7717770600646,1974.8283871183153,1986.4388159041525,153248.0,0.004805125467164606,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-07,1984.3278288521835,1996.993751164005,1937.8861137088338,1943.163581338759,315658.0,-0.021785334750265783,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-08,1931.553152552923,1955.8295036505817,1900.9438402993524,1909.387788507233,317314.0,-0.01738185768604006,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-09,1903.0548273513216,1911.498775559204,1861.8905798378992,1869.279034519795,496330.0,-0.02100608070757337,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-10,1873.5010086237357,1889.3334115135146,1828.1147870063728,1839.72521579221,545592.0,-0.015810276679841473,,0,93.2115,0,1.3,0,,0,50.2,0,0.6,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-1.0,0,,0,,0,,0,,0,0
2016-03-11,1834.447748162284,1866.112553941839,1807.0049164866684,1860.8350863119133,566236.0,0.01147446930579421,,1,92.0986,1,0.8,1,,1,50.2,0,0.3,1,,1,,1,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,1,,0,,0,,0,,0,1
2016-03-14,1850.2801510520615,1862.9460733638841,1840.7807093181948,1851.3356445780466,247810.0,-0.005104934770277847,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-15,1853.4466316300177,1880.8894633056323,1851.3356445780466,1873.5010086237357,216070.0,0.011972633979475455,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-16,1875.6119956757063,1876.6674892016922,1846.058176948121,1853.4466316300177,305018.0,-0.01070422535211224,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-17,1859.779592785929,1874.556502149722,1856.6131122079728,1867.1680474678249,217372.0,0.007403189066059079,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-18,1866.112553941839,1920.9982172930706,1860.8350863119133,1888.2779179875288,337996.0,0.011305822498586693,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-21,1888.2779179875288,1909.387788507233,1866.112553941839,1907.2768014552626,298762.0,0.010061486864169966,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-22,1908.3322949812482,1913.609762611173,1876.6674892016922,1887.2224244615445,270852.0,-0.010514665190923811,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-23,1881.9449568316177,1884.055943883588,1813.33787764258,1814.3933711685643,446302.0,-0.03859060402684622,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-24,1812.282384116595,1838.6697222662242,1796.449981226816,1832.3367611103142,314726.0,0.00988947062245571,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-25,1835.5032416882696,1835.5032416882696,1811.2268905906099,1820.7263323244756,172196.0,-0.006336405529954625,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-28,1799.6164618047728,1826.0037999544018,1791.1725135968904,1811.2268905906099,202876.0,-0.005217391304347285,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-29,1794.338994174847,1809.1159035386388,1776.3956042330967,1794.338994174847,292730.0,-0.00932400932400912,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-30,1795.39448770083,1823.8928129024314,1794.338994174847,1817.5598517465207,144162.0,0.01294117647058779,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-03-31,1814.3933711685643,1818.6153452725061,1799.6164618047728,1804.893929434697,92532.0,-0.006968641114983298,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-01,1796.449981226816,1809.1159035386388,1793.283500648861,1804.893929434697,116918.0,0.0,,0,92.0986,0,0.8,0,,0,50.2,0,0.3,0,,0,,0,,0,,0,48.6,0,45.8,0,5.1000023,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-05,1802.7829423827282,1836.5587352142543,1802.7829423827282,1810.1713970646235,123764.0,0.0029239766081874397,,0,92.0986,0,0.8,0,,0,55.3,1,0.3,0,,0,,0,,0,,0,51.4,1,50.1,1,5.0999985,1,,0,-0.7,0,,1,,0,,0,,1,0
2016-04-06,1810.1713970646235,1826.0037999544018,1809.1159035386388,1811.2268905906099,68164.0,0.0005830903790093878,,0,92.0986,0,0.8,0,,0,55.3,0,0.3,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-07,1815.4488646945495,1818.6153452725061,1805.949422960684,1817.5598517465207,53862.0,0.0034965034965033226,,0,92.0986,0,0.8,0,,0,55.3,0,0.3,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-08,1817.5598517465207,1818.6153452725061,1811.2268905906099,1815.4488646945495,45454.0,-0.0011614401858308643,,0,92.0986,0,0.8,0,,0,55.3,0,0.3,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-11,1817.5598517465207,1830.2257740583436,1814.3933711685643,1823.8928129024314,67986.0,0.0046511627906977715,,0,92.0986,0,0.8,0,,0,55.3,0,0.3,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.7,0,,0,,0,,0,,0,0
2016-04-12,1820.7263323244756,1836.5587352142543,1819.6708387984906,1835.5032416882696,64120.0,0.006365740740741144,,1,89.787,1,0.6087,1,,1,55.3,0,0.39999998,1,,1,,1,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,1,,0,,0,,0,,0,1
2016-04-13,1841.8362028441804,1872.4455150977508,1841.8362028441804,1865.0570604158559,111258.0,0.016101207590569544,,1,92.0986,1,0.6087,0,,1,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,1
2016-04-14,1873.5010086237357,1887.2224244615445,1866.112553941839,1874.556502149722,63208.0,0.005093378607809562,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-15,1890.3889050395,1930.4976590269382,1872.4455150977508,1909.387788507233,171026.0,0.018581081081080697,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-18,1910.4432820332183,1931.553152552923,1903.0548273513216,1928.3866719749667,62876.0,0.00995024875621886,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-19,1931.553152552923,1952.6630230726266,1917.8317367151146,1943.163581338759,79518.0,0.007662835249041988,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-20,1947.3855554427003,1963.217958332479,1947.3855554427003,1961.1069712805079,54964.0,0.009234111895709107,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-21,1969.5509194883894,1980.1058547482414,1954.7740101245977,1957.9404907025532,59594.0,-0.0016146393972007456,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-22,1920.9982172930706,1942.1080878127746,1918.8872302411,1925.2201913970116,65310.0,-0.01671159029649616,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-25,1912.554269085188,1926.2756849229966,1892.49989209147,1896.7218661954112,17406.0,-0.014802631578947345,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-26,1899.8883467733667,1909.387788507233,1889.3334115135146,1897.7773597213964,16694.0,0.0005564830272677401,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-27,1905.1658144032924,1905.1658144032924,1878.7784762536617,1880.8894633056323,11318.0,-0.008898776418242882,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-28,1880.8894633056323,1888.2779179875288,1875.6119956757063,1884.055943883588,16942.0,0.0016835016835017313,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-04-29,1916.0071818327522,1931.0755988707579,1897.4614377859737,1898.6205467888972,132712.0,0.007730451398002103,,0,92.0986,0,0.6087,0,,0,55.3,0,0.39999998,0,,0,,0,,0,,0,51.4,0,50.1,0,5.0999985,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-03,1900.938764794745,1935.7120348824535,1900.938764794745,1933.3938168766051,175944.0,0.018315018315017806,,0,92.0986,0,0.6087,0,,0,57.6,1,0.39999998,0,,0,,0,,0,,0,51.0,1,49.5,1,2.2999992,1,,0,-0.3,0,,1,,0,,0,,1,0
2016-05-04,1911.370745821057,1928.7573808649108,1910.2116368181323,1927.5982718619866,110412.0,-0.0029976019184654312,,0,92.0986,0,0.6087,0,,0,57.6,0,0.39999998,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-05,1925.28005385614,1929.9164898678353,1906.7343098093622,1913.688963826903,135666.0,-0.007215874924834664,,0,92.0986,0,0.6087,0,,0,57.6,0,0.39999998,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-06,1900.938764794745,1910.2116368181323,1878.915693739195,1900.938764794745,126092.0,-0.006662628709871776,,0,92.0986,0,0.6087,0,,0,57.6,0,0.39999998,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-09,1911.370745821057,1914.8480728298275,1895.143219780126,1906.7343098093622,128452.0,0.0030487804878043256,,0,92.0986,0,0.6087,0,,0,57.6,0,0.39999998,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-10,1899.7796557918205,1911.370745821057,1898.6205467888972,1903.256982800592,81910.0,-0.0018237082066866472,,0,92.0986,0,0.6087,0,,0,57.6,0,0.39999998,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
2016-05-11,1918.325399838599,1958.8942149409247,1913.688963826903,1955.4168879321549,235152.0,0.027405602923264327,,1,92.1173,1,-0.26619998,1,,1,57.6,0,0.0,1,,1,,1,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,1,,0,,0,,0,,0,1
2016-05-12,1948.4622339146129,1950.780451920459,1924.1209448532168,1934.5529258795286,117840.0,-0.010669828097214507,,0,92.1173,0,-0.26619998,0,,0,57.6,0,0.0,0,,0,,0,,0,,0,51.0,0,49.5,0,2.2999992,0,,0,-0.3,0,,0,,0,,0,,0,0
