date,open,high,low,close,volume,returns,fac_Non_Mfg_PMI_Constr_New_Orders_level,fac_Non_Mfg_PMI_Constr_New_Orders_level_release,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_非制造业PMI_建筑业_全国_当期值_月_level,fac_非制造业PMI_建筑业_全国_当期值_月_level_release,fac_GDP_Contribution_2nd_Industry_YoY_diff,fac_GDP_Contribution_2nd_Industry_YoY_diff_release,fac_Non_Mfg_PMI_Constr_Expectation_zscore,fac_Non_Mfg_PMI_Constr_Expectation_zscore_release,fac_GDP_Contribution_2nd_Industry_YoY_zscore,fac_GDP_Contribution_2nd_Industry_YoY_zscore_release,fac_PPI_非金属矿物制品业_全国_当期同比增长率_月_level,fac_PPI_非金属矿物制品业_全国_当期同比增长率_月_level_release,fac_Non_Mfg_PMI_Constr_Expectation_diff,fac_Non_Mfg_PMI_Constr_Expectation_diff_release,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_level_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_level_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_New_Orders_level,fac_PMI_New_Orders_level_release,fac_制造业采购经理指数PMI_生产_level,fac_制造业采购经理指数PMI_生产_level_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_非制造业PMI_建筑业_全国_当期值_月_zscore,fac_非制造业PMI_建筑业_全国_当期值_月_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_diff,fac_PPIRM_黑色金属材料类_全国_当期同比增长率_月_diff_release,fac_Non_Mfg_PMI_Constr_New_Orders_zscore,fac_Non_Mfg_PMI_Constr_New_Orders_zscore_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_diff,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_diff_release,fac_PPI_金属制品业_全国_当期同比增长率_月_level,fac_PPI_金属制品业_全国_当期同比增长率_月_level_release,fac_PMI_Raw_Material_Inventory_zscore,fac_PMI_Raw_Material_Inventory_zscore_release,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_level,fac_PPI_黑色金属矿采选业_全国_当期同比增长率_月_level_release,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff,fac_PPI_黑色金属冶炼及压延加工业_全国_当期同比增长率_月_diff_release,any_effective_release
2016-01-25,698.3670045580794,701.4743104737993,694.4828721634296,696.8133516002199,2480.0,0.0005577244841055151,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-26,697.978591318614,699.9206575159394,693.3176324450345,699.1438310370096,882.0,0.0033444816053507243,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-27,700.3090707554044,706.1352693473798,697.978591318614,701.8627237132642,2050.0,0.0038888888888883866,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-28,702.6395501921951,702.6395501921951,685.9377808951991,686.3261941346648,1534.0,-0.022136137244049836,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-01-29,685.9377808951991,694.8712854028946,685.9377808951991,689.0450868109194,3284.0,0.003961516694962697,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-01,690.5987397687791,700.3090707554044,690.5987397687791,695.2596986423592,1768.0,0.009019165727169876,,0,,0,,0,,0,,1,,0,,1,-4.2,0,,0,-13.6,0,-20.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,1
2016-02-02,695.2596986423592,697.5901780791492,689.0450868109194,689.8219132898495,784.0,-0.007821229050278933,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,1,51.4,1,46.8,1,,0,-0.79999924,1,,0,,0,,0,,0,,0,-4.2,0,,1,-17.6,0,,0,0
2016-02-03,690.5987397687791,693.7060456844995,690.5987397687791,692.9292192055696,1082.0,0.0045045045045044585,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-04,694.0944589239647,702.2511369527292,694.0944589239647,700.6974839948695,1512.0,0.011210762331838264,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-05,703.8047899105893,703.8047899105893,693.3176324450345,699.1438310370096,500.0,-0.0022172949002214892,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-15,698.3670045580794,701.8627237132642,694.4828721634296,701.0858972343343,1190.0,0.002777777777777324,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-16,701.0858972343343,701.8627237132642,697.5901780791492,698.755417797544,1106.0,-0.003324099722991969,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-17,703.2833711337795,707.0523066704019,699.1375420434941,701.3989033654683,3197078.0,0.0037831342707244087,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-18,702.5295840264548,705.167838902091,699.1375420434941,704.7909453484284,2833084.0,0.004836109618484352,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-20.8,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,,0,,0,,0,,0,-4.2,0,,0,-17.6,0,,0,0
2016-02-19,705.5447324557532,715.7208584046342,702.5295840264548,714.9670712973098,4259322.0,0.014438502673797204,,0,,0,,0,,0,,0,,0,,0,-4.2,1,,0,-13.6,1,-19.0,1,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,1,,0,,0,-1.2999992,1,-4.3,1,,0,-18.9,1,1.7999992,1,1
2016-02-22,714.9670712973098,741.7265136073297,713.0826035289986,739.4651522853563,6568536.0,0.03426462836056876,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-02-23,737.5806845170457,740.5958329463434,724.0125165852036,725.8969843535153,5118530.0,-0.018348623853210455,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-02-24,724.3894101388662,730.0428134438005,722.1280488168928,727.0276650145023,3504668.0,0.0015576323987540608,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-02-25,727.0276650145023,739.0882587316942,725.1431972461907,726.6507714608397,4325944.0,-0.000518403317781746,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-02-26,728.1583456754886,730.7966005511241,715.3439648509716,724.3894101388662,4146132.0,-0.003112033195020625,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-02-29,724.3894101388662,743.6109813756411,720.6204746022435,742.1034071609923,6078558.0,0.024453694068678367,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-01,744.3647684829663,757.5560428611456,739.0882587316942,751.5257460025488,6064250.0,0.012696800406297504,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,49.5,0,51.4,0,46.8,0,,0,-0.79999924,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-02,752.6564266635357,757.1791493074829,747.7568104659265,751.1488524488869,5582604.0,-0.0005015045135400298,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,1,50.2,1,48.0,1,,0,1.2000008,1,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,1,-18.9,0,1.7999992,0,0
2016-03-03,750.0181717878999,753.41021377086,741.3496200536682,743.9878749293036,4325658.0,-0.009533366783743502,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-04,743.2340878219792,752.6564266635357,735.6962167487341,748.887491126913,4750600.0,0.006585612968591725,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-07,750.0181717878999,781.3003367418677,747.3799169122635,781.3003367418677,3279116.0,0.0432813286361351,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-08,826.9044567350013,826.9044567350013,782.8079109565166,826.9044567350013,6192598.0,0.05836951278340563,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-09,809.9442468201993,815.2207565714713,766.9783817027014,792.9840369053974,8678072.0,-0.041020966271650416,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-10,795.9991853346961,829.5427116106371,794.1147175663851,802.7832693006163,11325298.0,0.012357414448669335,,0,,0,,0,,0,,0,,0,,0,-4.2,0,,0,-13.6,0,-19.0,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.0,0,,0,,0,-1.2999992,0,-4.3,0,,0,-18.9,0,1.7999992,0,0
2016-03-11,795.6222917810334,803.9139499616031,779.4158689735564,785.8230593858148,4663174.0,-0.02112676056338003,,0,,0,,0,,0,,0,,0,,0,-4.4,1,,0,-12.9,1,-16.2,1,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,1,,0,,0,0.5,1,-4.3,1,,0,-18.4,1,2.7999992,1,1
2016-03-14,775.6469334369331,805.4215241762522,766.6014881490395,769.2397430246755,5086806.0,-0.021103117505994917,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-15,769.6166365783375,777.5314012052447,757.5560428611456,762.0787655050922,2972086.0,-0.009309162175404673,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-16,758.3098299684696,778.6620818662317,758.3098299684696,778.2851883125697,2414432.0,0.02126607319485707,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-17,780.1696560808809,804.6677370689281,778.6620818662317,804.2908435152658,3378884.0,0.03341404358353506,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-18,804.6677370689281,830.6733922716237,804.6677370689281,812.205608142173,4583820.0,0.009840674789127979,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-21,812.205608142173,845.7491344181145,805.4215241762522,826.1506696276766,4232524.0,0.017169373549883904,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-22,828.41203094965,841.9801988814913,825.3968825203524,834.4423278082461,2516072.0,0.010036496350364521,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-23,834.0654342545841,870.2472154061618,831.0502858252868,854.7945797060087,3987608.0,0.024390243902439712,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-24,857.055941027982,862.3324507792538,832.1809664862728,838.588156898531,4923144.0,-0.018959435626102805,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-25,837.0805826838823,866.855173423201,835.5730084692333,866.1013863158768,3833882.0,0.0328089887640457,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-28,868.3627476378501,884.9460639989891,854.4176861523462,857.8097281353063,4378692.0,-0.00957354221061879,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-29,858.9404087962936,871.7547896208098,857.055941027982,863.0862378865787,2485030.0,0.006151142355009798,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-30,863.4631314402404,865.3475992085514,841.6033053278292,850.2718570620616,2193900.0,-0.01484716157205268,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-03-31,850.6487506157235,861.9555572255919,843.4877730961404,851.7794312767104,1416578.0,0.0017730496453898237,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-04-01,854.0407925986842,875.146831603771,854.0407925986842,875.146831603771,972398.0,0.027433628318584535,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,48.6,0,50.2,0,48.0,0,,0,1.2000008,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-04-05,878.1619800330687,889.091893089274,862.3324507792538,886.0767446599764,835324.0,0.012489233419465728,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,51.4,1,52.3,1,48.2,1,,0,0.20000076,1,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,1,-18.4,0,2.7999992,0,0
2016-04-06,886.0767446599764,892.4839350722341,876.2775122647573,885.6998511063142,774116.0,-0.00042535091450435214,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,51.4,0,52.3,0,48.2,0,,0,0.20000076,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-04-07,885.6998511063142,895.4990835015329,880.4233413550422,888.3381059819501,597030.0,0.0029787234042553123,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,51.4,0,52.3,0,48.2,0,,0,0.20000076,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-04-08,889.4687866429367,896.2528706088569,884.9460639989891,893.237722179559,479042.0,0.005515485787016772,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,51.4,0,52.3,0,48.2,0,,0,0.20000076,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
2016-04-11,895.1221899478707,939.595629280017,895.1221899478707,935.4498001897323,873374.0,0.04725738396624468,,0,,0,,0,,0,,0,,0,,0,-4.4,0,,0,-12.9,0,-16.2,0,,0,51.4,0,52.3,0,48.2,0,,0,0.20000076,0,,0,0.70000076,0,,0,,0,0.5,0,-4.3,0,,0,-18.4,0,2.7999992,0,0
