date,open,high,low,close,volume,returns,fac_CPI-PPI_差值_当月_level,fac_CPI-PPI_差值_当月_level_release,fac_PPI_翘尾因素_当月_level,fac_PPI_翘尾因素_当月_level_release,fac_制造业采购经理指数PMI_进口_zscore,fac_制造业采购经理指数PMI_进口_zscore_release,fac_制造业采购经理指数PMI_采购量_zscore,fac_制造业采购经理指数PMI_采购量_zscore_release,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_level,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_level_release,fac_PPIRM_化工原料类_全国_当期同比增长率_月_diff,fac_PPIRM_化工原料类_全国_当期同比增长率_月_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_New_Orders_zscore,fac_PMI_New_Orders_zscore_release,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_zscore,fac_PPI_煤炭开采和洗选业_全国_当期同比增长率_月_zscore_release,fac_GDP_Cumulative_YoY_level,fac_GDP_Cumulative_YoY_level_release,fac_PPI_石油和天然气开采业_全国_当期同比增长率_月_diff,fac_PPI_石油和天然气开采业_全国_当期同比增长率_月_diff_release,fac_制造业采购经理指数PMI_生产_diff,fac_制造业采购经理指数PMI_生产_diff_release,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_diff,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_diff_release,any_effective_release
2018-04-11,432.31798301864444,436.095525197107,432.1081071110645,433.787018304,96.0,0.008046787963557955,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.3999977,0,,0,0
2018-04-12,436.3053690821193,445.3294887244007,436.3053690821193,445.3294887244007,86.0,0.026608611907126267,,0,,0,,0,,0,5.8,1,-0.9000001,1,,0,,0,,1,,0,-4.7999997,1,2.3999977,0,-0.9000001,1,0
2018-04-13,443.4407336464528,443.8604534390448,439.0335957678185,442.916075900071,240.0,-0.005419386960523576,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-16,443.5456716002426,445.43442667819056,439.4533155604105,440.502631053174,196.0,-0.0054489890483033765,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-17,441.4470406147154,441.6568844997277,437.2497786436605,440.3977251219519,74.0,-0.00023815052130626846,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-18,436.93496478229116,445.53936463198033,435.1511476581332,445.53936463198033,38.0,0.011674991074498875,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,1,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-19,450.1563463956274,456.45223935220923,449.8415645568252,456.2423634446295,124.0,0.02402256604529196,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-20,457.1867730061709,457.7114307525532,452.3599153349445,452.5697592199567,94.0,-0.008049678238874258,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-23,450.9957859808114,455.40292385944576,449.1070309028637,455.08814202064355,24.0,0.005564628986761022,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-24,452.98951103511615,463.79744780155517,448.7922490640614,463.2727900551737,138.0,0.017984753454988622,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-25,460.75443927705425,463.79744780155517,452.3599153349445,453.82895062030025,66.0,-0.02038505096262766,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-26,456.5571773059992,458.6558082915268,451.1007239346011,458.6558082915268,26.0,0.010635852262463885,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-04-27,458.5508703377369,460.8593772308439,457.1867730061709,460.8593772308439,26.0,0.004804406484080648,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,2.3999977,0,-0.9000001,0,0
2018-05-02,457.1867730061709,457.1867730061709,455.193047951866,455.193047951866,8.0,-0.012295137213058527,,0,,0,,1,,1,5.8,0,-0.9000001,0,,1,,1,,0,6.9,0,-4.7999997,0,0.0,1,-0.9000001,0,0
2018-05-03,458.97059013032884,463.4826659627532,458.02621259135503,463.4826659627532,20.0,0.01821121400730119,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-04,460.334719484462,463.79744780155517,459.9149676693027,462.74813230879147,22.0,-0.001584813646559824,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-07,465.58129694828074,477.5434871612733,465.58129694828074,477.5434871612733,42.0,0.03197280295581795,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-08,477.3336112536936,478.48786470024714,473.66100702902037,475.8645759683379,20.0,-0.003515724197005743,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-09,477.85826900007555,482.1604689249199,462.2234745624097,480.79637159335425,96.0,0.01036386374207554,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-10,483.1048464638939,494.43747299928253,483.1048464638939,492.65362385255685,440.0,0.02466169247473271,,0,,0,,0,,0,5.8,0,-0.9000001,0,,0,,0,,0,6.9,0,-4.7999997,0,0.0,0,-0.9000001,0,0
2018-05-11,488.56129983529223,488.87608167409417,482.79006462509176,487.19717048115865,322.0,-0.01107563835363412,,0,,0,,0,,0,4.4,1,0.7999997,1,,0,,0,,1,6.9,0,8.299999,1,0.0,0,1.0,1,0
2018-05-14,484.99363356440875,487.51198434252814,479.64211814680044,481.2160913859461,110.0,-0.01227650622294385,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-15,483.9443180716457,491.0796506134114,483.9443180716457,491.0796506134114,234.0,0.020497151703837257,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-16,493.178281598939,493.178281598939,488.03664208891024,489.40073942047616,116.0,-0.003418816460503127,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-17,486.98732659614654,501.5728055410484,486.98732659614654,499.3692366017312,64.0,0.02036878242778961,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-18,501.25802370224636,504.7207520193396,500.2087082094828,502.4122451262324,52.0,0.0060937044204190105,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-21,501.04814779466676,502.3073391950103,494.3325350454926,500.4185520944947,208.0,-0.003968241321898436,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-22,498.3199211089673,503.8813124341555,497.90020131637556,503.14677878019404,56.0,0.005451889571800095,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-23,503.4615606189962,511.12158292971174,500.62842800207466,501.9925253336405,174.0,-0.0022940690375715667,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-24,501.9925253336405,503.9862183653778,496.11635216965004,503.2517167339838,222.0,0.0025083867523851833,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-25,497.69032540879596,503.6714365265757,494.22759709170276,494.75225483808464,404.0,-0.01688908673985101,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-28,492.2339040599647,492.2339040599647,474.8152604755743,481.2160913859461,248.0,-0.02735947804132488,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-29,478.59280265403686,483.7344421640656,478.3829267464572,483.41966032526364,90.0,0.004579167194868949,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-30,485.51829131079086,486.46266884976484,477.5434871612733,482.1604689249199,64.0,-0.0026047583573587385,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-05-31,485.6231972420133,494.75225483808464,485.6231972420133,492.0240281523852,134.0,0.0204570052154176,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,0.0,0,1.0,0,0
2018-06-01,492.54868589876725,501.5728055410484,491.39443245221366,493.2832195527288,118.0,0.002559207128708829,,0,,0,,1,,1,4.4,0,0.7999997,0,,1,,1,,0,6.9,0,8.299999,0,1.0,1,1.0,0,0
2018-06-04,490.97471265962156,491.2895265209914,486.8823886423568,486.98732659614654,54.0,-0.012763241697722583,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,1.0,0,1.0,0,0
2018-06-05,489.82045921306786,489.92539716685786,479.7470561005906,484.0492240028672,62.0,-0.006033221878309458,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,1.0,0,1.0,0,0
2018-06-06,481.1111534321564,485.30841540321103,474.6053845679946,484.5738817492496,96.0,0.0010838933735781708,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,1.0,0,1.0,0,0
2018-06-07,481.63581117853823,484.4689758180271,477.2286732999036,484.4689758180271,224.0,-0.00021649109696919577,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,1.0,0,1.0,0,0
2018-06-08,486.5676068035546,493.178281598939,486.5676068035546,487.0922645499361,164.0,0.005414771353479564,,0,,0,,0,,0,4.4,0,0.7999997,0,,0,,0,,0,6.9,0,8.299999,0,1.0,0,1.0,0,0
2018-06-11,488.4563618815021,491.60430835979327,486.35773089597467,486.35773089597467,88.0,-0.0015079969595496179,,0,,0,,0,,0,3.8,1,1.1000004,1,,0,,0,,1,6.9,0,9.000001,1,1.0,0,1.5,1,0
2018-06-12,483.7344421640656,491.2895265209914,482.3703448325,491.2895265209914,20.0,0.01014026366134102,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-13,487.0922645499361,488.14158004270035,482.79006462509176,483.7344421640656,56.0,-0.015378069242440784,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-14,483.41966032526364,490.55499286702945,483.41966032526364,489.0859575816739,30.0,0.011062919964241802,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-15,486.0429490571727,486.67251273477706,485.20347744942114,486.67251273477706,6.0,-0.004934602618382855,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-19,482.8950025788815,483.2097844176838,476.5991096222995,477.3336112536936,96.0,-0.01918929308048445,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-20,480.48155773198454,484.25909991044733,479.2223983542084,481.95059301734017,48.0,0.009672442197230291,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-21,484.0492240028672,486.2527929421851,478.068144907655,478.068144907655,50.0,-0.008055697338970824,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-22,475.8645759683379,478.6977406078268,472.29690969745474,478.59280265403686,34.0,0.0010974538922337018,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-25,483.7344421640656,488.9810196278841,483.5245662564858,483.5245662564858,62.0,0.010304717444766798,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-26,487.19717048115865,489.61061532805576,485.30841540321103,489.61061532805576,52.0,0.012586845625423004,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-27,493.178281598939,505.77006751210354,491.709246313583,505.45528567330126,78.0,0.03236177862407863,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-28,506.7144450510771,515.0040310393968,506.7144450510771,510.49198722954014,66.0,0.00996468273059925,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-06-29,516.5780042785425,518.0470715864656,514.2695294080028,514.2695294080028,24.0,0.007399806995920688,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,1.0,0,1.5,0,0
2018-07-02,518.5717293328472,532.9473323701696,518.5717293328472,521.8245817423606,98.0,0.014690841868571836,,0,,0,,1,,1,3.8,0,1.1000004,0,,1,,1,,0,6.9,0,9.000001,0,-0.5,1,1.5,0,0
2018-07-03,521.9295196961509,525.6021239208236,518.0470715864656,524.65774638185,72.0,0.005429342998809039,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-04,524.8676222894297,524.8676222894297,512.9054000538694,517.7322577250958,172.0,-0.013200012207031708,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-05,516.2632224397403,520.3555464570052,516.0533465321604,517.6273197713062,32.0,-0.00020268768697284667,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-06,519.2012930104519,521.7196758111385,514.2695294080028,514.2695294080028,58.0,-0.0064868878342568825,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-09,510.3870492757501,519.4111689180314,509.4426717367761,519.4111689180314,156.0,0.00999794702195822,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-10,519.7259507568334,526.4415955285751,517.312537932504,526.1267816672056,228.0,0.01292928059895826,,0,,0,,0,,0,3.8,0,1.1000004,0,,0,,0,,0,6.9,0,9.000001,0,-0.5,0,1.5,0,0
2018-07-11,528.8550083529046,533.3670521627616,525.8119998284031,530.3240436382602,1292.0,0.007977662641985628,,0,,0,,0,,0,6.3,1,0.5,1,,0,,0,,1,6.9,0,8.5,1,-0.5,0,0.6000004,1,0
2018-07-12,527.0711592061797,529.3796660992864,503.4615606189962,510.59692518333014,2112.0,-0.03719823510092646,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-13,509.33773378298616,511.7511786298834,504.1960942729576,511.0166449759219,764.0,0.0008220178616256124,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-16,514.3744673617928,519.3062309642414,512.0659604686856,512.0659604686856,330.0,0.002053388090349051,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-17,504.7207520193396,507.02925891244683,496.01144623842777,496.53610398480964,444.0,-0.030327843838051094,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,1,8.5,0,-0.5,0,0.6000004,0,0
2018-07-18,499.99883230190284,502.09746328743023,496.7459478698218,499.78895639432324,264.0,0.006551089403990407,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-19,500.10377025569295,507.8686984976305,498.5297970165469,506.819383004867,490.0,0.014066790633518789,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-20,503.8813124341555,514.1645914542128,503.2517167339838,512.1708984224754,656.0,0.01055901884785837,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-23,511.7511786298834,513.954715546633,509.8623915293681,511.6462406760936,438.0,-0.001024380237139133,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-24,517.7322577250958,521.4048619497689,515.5286887857787,517.1026620249245,928.0,0.010664441395329627,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-25,517.1026620249245,526.1267816672056,515.7385646933582,526.1267816672056,998.0,0.017451311518961177,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-26,524.238026589258,526.7563773673774,518.3618534252677,526.3366575747851,1910.0,0.00039890747799309345,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-27,524.238026589258,532.0029548311958,523.8183067966656,530.6388574996301,1494.0,0.008173855768793148,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-30,531.058577292222,532.8423944163799,519.4111689180314,532.7374884851574,772.0,0.003954913885153566,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-07-31,533.3670521627616,538.2988477877778,533.3670521627616,535.9903408946709,3508.0,0.006105919857006814,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5,0,0.6000004,0,0
2018-08-01,535.8854349634483,535.8854349634483,524.8676222894297,526.5465014597976,5872.0,-0.01761942093790303,,0,,0,,1,,1,6.3,0,0.5,0,,1,,1,,0,6.9,0,8.5,0,-0.5999985,1,0.6000004,0,0
2018-08-02,521.0900801109669,547.7426872226512,520.145702571993,525.9169377821933,8580.0,-0.0011956468723254288,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-03,524.4478704742701,539.4530692117638,523.8183067966656,537.4594082025941,7452.0,0.021947325882059943,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-06,537.5643141338165,544.9095225831622,530.114199753248,543.8602070903985,9156.0,0.011909362437640292,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-07,546.6933717298878,564.0070773604883,545.958838075926,562.8528559365026,22556.0,0.03492193140533861,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-08,562.7478859601453,566.6303660923978,539.6629451193438,545.4341803295441,41256.0,-0.03094712130042654,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-09,540.5023847045275,548.7920027154148,533.4719901165514,538.5087236953577,70478.0,-0.012697144557391127,,0,,0,,0,,0,6.3,0,0.5,0,,0,,0,,0,6.9,0,8.5,0,-0.5999985,0,0.6000004,0,0
2018-08-10,540.7122606121076,543.1256734364368,528.7500703991147,531.2684211772341,75992.0,-0.013445097914921655,,0,,0,,0,,0,7.0,1,-0.10000038,1,,0,,0,,1,6.9,0,9.399998,1,-0.5999985,0,-0.10000038,1,0
2018-08-13,534.9410254019073,540.9221365196872,532.6325505313677,534.416367655525,82664.0,0.005925340849951999,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-14,535.3607772170667,544.80461665194,529.9043238456686,541.4467942660689,170050.0,0.01315533549503023,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-15,545.6440562371238,547.5328113150715,533.2621462315393,535.2558392632767,218180.0,-0.011434096698612839,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-16,533.8917099091434,537.5643141338165,518.3618534252677,522.4541774425325,326410.0,-0.023916902687814434,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-17,524.65774638185,526.5465014597976,519.4111689180314,521.1950180647567,249986.0,-0.002410085768553838,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-20,526.2317196209951,528.3303506065225,503.6714365265757,515.6336267395686,327468.0,-0.01067046140586303,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-21,515.4237828545566,526.6514394135874,512.5906182150676,520.8802042033872,335614.0,0.010175010301390675,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-22,524.65774638185,533.0522703239592,521.2999239959792,529.4846040530765,304726.0,0.016518961135888466,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-23,534.206523770513,539.0333814417396,529.7993858918785,533.0522703239592,314562.0,0.00673799812794007,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-24,533.0522703239592,540.082696934503,529.0648842604847,537.0396563874344,287220.0,0.007480290931041189,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-27,537.4594082025941,539.6629451193438,532.7374884851574,535.9903408946709,259682.0,-0.001953888284195071,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-28,537.7741900413964,541.6566701736489,534.7311815168947,537.249532295014,258382.0,0.002349280022922118,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-29,538.8235055341598,539.4530692117638,533.1572082777493,533.5769280703414,250278.0,-0.006835937499999334,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
2018-08-30,538.2988477877778,549.4215663930191,535.8854349634483,548.5821268078354,318074.0,0.028121903231010492,,0,,0,,0,,0,7.0,0,-0.10000038,0,,0,,0,,0,6.9,0,9.399998,0,-0.5999985,0,-0.10000038,0,0
